species	family	node	filtered_hits	short
E.maximus_D	Mir-874	Eutheria	1	E.maximus_D
E.maximus_D	Mir-875	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-877	Eutheria	1	E.maximus_D
E.maximus_D	Mir-885	Eutheria	1	E.maximus_D
E.maximus_D	Mir-9	Bilateria	3	E.maximus_D
E.maximus_D	Mir-92	Bilateria	6	E.maximus_D
E.maximus_D	Mir-95	Eutheria	3	E.maximus_D
E.maximus_D	Mir-96	Bilateria	2	E.maximus_D
E.maximus_D	Mir-9851	Eutheria	1	E.maximus_D
E.maximus_E	Let-7	Bilateria	12	E.maximus_E
E.maximus_E	Mir-1	Bilateria	3	E.maximus_E
E.maximus_E	Mir-10	Eumetazoa	8	E.maximus_E
E.maximus_E	Mir-101	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-103	Deuterostomia	3	E.maximus_E
E.maximus_E	Mir-105	Eutheria	1	E.maximus_E
E.maximus_E	Mir-122	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-124	Bilateria	2	E.maximus_E
E.maximus_E	Mir-1247	Eutheria	1	E.maximus_E
E.maximus_E	Mir-1249	Eutheria	1	E.maximus_E
E.maximus_E	Mir-1251	Theria	1	E.maximus_E
E.maximus_E	Mir-126	Olfactores	1	E.maximus_E
E.maximus_E	Mir-127	Eutheria	1	E.maximus_E
E.maximus_E	Mir-1277	Eutheria	1	E.maximus_E
E.maximus_E	Mir-128	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-129	Chordata	2	E.maximus_E
E.maximus_E	Mir-1296	Eutheria	1	E.maximus_E
E.maximus_E	Mir-1298	Eutheria	1	E.maximus_E
E.maximus_E	Mir-130	Vertebrata	5	E.maximus_E
E.maximus_E	Mir-1306	Gnathostomata	1	E.maximus_E
E.maximus_E	Mir-1307	Eutheria	1	E.maximus_E
E.maximus_E	Mir-132	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-1329	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-133	Bilateria	3	E.maximus_E
E.maximus_E	Mir-1343	Eutheria	1	E.maximus_E
E.maximus_E	Mir-135	Chordata	3	E.maximus_E
E.maximus_E	Mir-136	Eutheria	1	E.maximus_E
E.maximus_E	Mir-137	Bilateria	1	E.maximus_E
E.maximus_E	Mir-138	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-1388	Gnathostomata	1	E.maximus_E
E.maximus_E	Mir-139	Gnathostomata	1	E.maximus_E
E.maximus_E	Mir-140	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-142	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-143	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-144	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-145	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-146	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-147	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-148	Vertebrata	3	E.maximus_E
E.maximus_E	Mir-149	Eutheria	1	E.maximus_E
E.maximus_E	Mir-15	Olfactores	7	E.maximus_E
E.maximus_E	Mir-150	Gnathostomata	1	E.maximus_E
E.maximus_E	Mir-153	Bilateria	2	E.maximus_E
E.maximus_E	Mir-154	Eutheria	29	E.maximus_E
E.maximus_E	Mir-155	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-17	Vertebrata	7	E.maximus_E
E.maximus_E	Mir-181	Vertebrata	6	E.maximus_E
E.maximus_E	Mir-184	Bilateria	1	E.maximus_E
E.maximus_E	Mir-185	Eutheria	1	E.maximus_E
E.maximus_E	Mir-186	Mammalia	1	E.maximus_E
E.maximus_E	Mir-187	Osteichthyes	1	E.maximus_E
E.maximus_E	Mir-188	Eutheria	3	E.maximus_E
E.maximus_E	Mir-19	Vertebrata	3	E.maximus_E
E.maximus_E	Mir-190	Bilateria	2	E.maximus_E
E.maximus_E	Mir-191	Gnathostomata	1	E.maximus_E
E.maximus_E	Mir-1912	Eutheria	1	E.maximus_E
E.maximus_E	Mir-192	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-193	Bilateria	4	E.maximus_E
E.maximus_E	Mir-194	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-196	Olfactores	3	E.maximus_E
E.maximus_E	Mir-199	Vertebrata	3	E.maximus_E
E.maximus_E	Mir-202	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-204	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-205	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-208	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-21	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-214	Gnathostomata	1	E.maximus_E
E.maximus_E	Mir-216	Bilateria	2	E.maximus_E
E.maximus_E	Mir-218	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-219	Bilateria	1	E.maximus_E
E.maximus_E	Mir-22	Bilateria	1	E.maximus_E
E.maximus_E	Mir-221	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-223	Vertebrata	1	E.maximus_E
E.maximus_E	Mir-224	Eutheria	1	E.maximus_E
E.maximus_E	Mir-23	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-24	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-2483	Eutheria	1	E.maximus_E
E.maximus_E	Mir-26	Vertebrata	3	E.maximus_E
E.maximus_E	Mir-27	Vertebrata	2	E.maximus_E
E.maximus_E	Mir-28	Eutheria	3	E.maximus_E
E.maximus_E	Mir-29	Bilateria	4	E.maximus_E
E.maximus_E	Mir-296	Eutheria	1	E.maximus_E
E.maximus_E	Mir-30	Vertebrata	6	E.maximus_E
E.maximus_E	Mir-3059	Eutheria	1	E.maximus_E
E.maximus_E	Mir-3085	Eutheria	1	E.maximus_E
E.maximus_E	Mir-31	Bilateria	1	E.maximus_E
E.maximus_E	Mir-32	Gnathostomata	1	E.maximus_E
E.maximus_E	Mir-320	Eutheria	1	E.maximus_E
E.maximus_E	Mir-324	Eutheria	1	E.maximus_E
E.maximus_E	Mir-325	Theria	1	E.maximus_E
E.maximus_E	Mir-326	Eutheria	1	E.maximus_E
E.maximus_E	Mir-328	Eutheria	1	E.maximus_E
E.maximus_E	Mir-33	Bilateria	2	E.maximus_E
