species	family	gff	filtered	fpc	fnc	tpc	short	node
Anolis_carolinensis	Mir-210	1	1	0	0	1	aca	Bilateria
Anolis_carolinensis	Mir-214	11	1	0	0	1	aca	Gnathostomata
Anolis_carolinensis	Mir-216	3	2	0	0	2	aca	Bilateria
Anolis_carolinensis	Mir-217	1	1	0	0	1	aca	Chordata
Anolis_carolinensis	Mir-218	2	2	0	0	2	aca	Vertebrata
Anolis_carolinensis	Mir-2188	1	1	0	0	1	aca	Gnathostomata
Anolis_carolinensis	Mir-219	2	2	0	0	2	aca	Bilateria
Anolis_carolinensis	Mir-22	2	2	1	0	1	aca	Bilateria
Anolis_carolinensis	Mir-221	3	3	0	0	3	aca	Vertebrata
Anolis_carolinensis	Mir-223	1	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-23	3	2	0	0	2	aca	Vertebrata
Anolis_carolinensis	Mir-24	2	2	0	0	2	aca	Vertebrata
Anolis_carolinensis	Mir-26	3	3	0	0	3	aca	Vertebrata
Anolis_carolinensis	Mir-27	2	2	0	0	2	aca	Vertebrata
Anolis_carolinensis	Mir-29	4	4	0	0	4	aca	Bilateria
Anolis_carolinensis	Mir-2970	1	1	0	0	1	aca	Sarcopterygii
Anolis_carolinensis	Mir-30	6	6	0	0	6	aca	Vertebrata
Anolis_carolinensis	Mir-31	1	1	0	0	1	aca	Bilateria
Anolis_carolinensis	Mir-32	1	1	0	0	1	aca	Gnathostomata
Anolis_carolinensis	Mir-33	52	2	0	0	2	aca	Bilateria
Anolis_carolinensis	Mir-338	1	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-34	6	6	0	0	6	aca	Bilateria
Anolis_carolinensis	Mir-375	1	1	0	0	1	aca	Bilateria
Anolis_carolinensis	Mir-383	1	1	0	0	1	aca	Tetrapoda
Anolis_carolinensis	Mir-4057	1	0	0	0	0	aca	Chordata
Anolis_carolinensis	Mir-425	1	1	0	0	1	aca	Gnathostomata
Anolis_carolinensis	Mir-430	5	5	3	0	2	aca	Vertebrata
Anolis_carolinensis	Mir-451	21	2	1	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-4541	2	0	0	0	0	aca	Vertebrata
Anolis_carolinensis	Mir-455	7	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-456	1	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-458	1	1	0	0	1	aca	Osteichthyes
Anolis_carolinensis	Mir-460	2	2	0	0	2	aca	Osteichthyes
Anolis_carolinensis	Mir-489	2	1	0	0	1	aca	Osteichthyes
Anolis_carolinensis	Mir-490	1	1	0	0	1	aca	Amniota
Anolis_carolinensis	Mir-499	2	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-551	1	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-7	4	3	0	0	3	aca	Bilateria
Anolis_carolinensis	Mir-71	1	0	0	0	0	aca	Bilateria
Anolis_carolinensis	Mir-7147	1	0	0	0	0	aca	Osteichthyes
Anolis_carolinensis	Mir-725	2	0	0	0	0	aca	Gnathostomata
Anolis_carolinensis	Mir-726	1	1	0	0	1	aca	Osteichthyes
Anolis_carolinensis	Mir-727	30	1	0	0	1	aca	Osteichthyes
Anolis_carolinensis	Mir-737	2	1	0	0	1	aca	Osteichthyes
Anolis_carolinensis	Mir-8	3	3	0	0	3	aca	Bilateria
Anolis_carolinensis	Mir-875	5	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-9	86	3	0	0	3	aca	Bilateria
Anolis_carolinensis	Mir-92	4	4	0	0	4	aca	Bilateria
Anolis_carolinensis	Mir-96	1	1	0	0	1	aca	Bilateria
Ascaris_suum	Bantam	4	1	0	2	1	asu	Protostomia
Ascaris_suum	Let-7	1	1	0	1	1	asu	Bilateria
Ascaris_suum	Mir-1	1	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-10	5	5	0	4	5	asu	Eumetazoa
Ascaris_suum	Mir-1175	1	0	0	1	0	asu	Protostomia
Ascaris_suum	Mir-124	1	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-133	1	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-137	1	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-153	1	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-184	1	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-190	1	0	0	1	0	asu	Bilateria
Ascaris_suum	Mir-2	13	13	5	3	8	asu	Protostomia
Ascaris_suum	Mir-216	1	0	0	2	0	asu	Bilateria
Ascaris_suum	Mir-22	1	0	0	1	0	asu	Bilateria
Ascaris_suum	Mir-242	1	0	0	0	0	asu	Bilateria
Ascaris_suum	Mir-252	1	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-279	5	5	0	0	5	asu	Protostomia
Ascaris_suum	Mir-281	1	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-29	2	1	0	1	1	asu	Bilateria
Ascaris_suum	Mir-305	1	0	0	1	0	asu	Ecdysozoa
Ascaris_suum	Mir-31	1	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-33	4	0	0	0	0	asu	Bilateria
Ascaris_suum	Mir-34	1	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-36	3	2	0	4	2	asu	Protostomia
Ascaris_suum	Mir-375	1	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-67	2	2	1	0	1	asu	Protostomia
Ascaris_suum	Mir-7	2	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-71	2	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-750	1	1	0	0	1	asu	Protostomia
Ascaris_suum	Mir-76	2	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-8	1	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-87	2	2	0	0	2	asu	Protostomia
Ascaris_suum	Mir-9	2	2	0	0	2	asu	Bilateria
Ascaris_suum	Mir-92	1	1	0	0	1	asu	Bilateria
Ascaris_suum	Mir-96	2	2	0	0	2	asu	Bilateria
Blattella_germanica	Bantam	1	1	0	0	1	bge	Protostomia
Blattella_germanica	Iab-4	1	1	0	0	1	bge	Arthropoda
Blattella_germanica	Let-7	2	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-1	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-10	4	4	0	0	4	bge	Eumetazoa
Blattella_germanica	Mir-1175	1	1	0	0	1	bge	Protostomia
Blattella_germanica	Mir-12	1	1	0	0	1	bge	Protostomia
Blattella_germanica	Mir-124	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-133	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-137	2	2	0	0	2	bge	Bilateria
Blattella_germanica	Mir-153	2	2	0	0	2	bge	Bilateria
Blattella_germanica	Mir-184	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-190	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-193	2	2	0	0	2	bge	Bilateria
Blattella_germanica	Mir-1993	2	0	0	0	0	bge	Protostomia
Blattella_germanica	Mir-2	5	5	0	1	5	bge	Protostomia
Blattella_germanica	Mir-2001	2	2	0	0	2	bge	Bilateria
Blattella_germanica	Mir-210	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-216	2	2	0	0	2	bge	Bilateria
Blattella_germanica	Mir-219	2	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-22	4	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-252	2	2	0	0	2	bge	Bilateria
Blattella_germanica	Mir-275	1	1	0	0	1	bge	Arthropoda
Blattella_germanica	Mir-276	1	1	0	0	1	bge	Arthropoda
Blattella_germanica	Mir-2765	1	1	0	0	1	bge	Pancrustacea
Blattella_germanica	Mir-277	1	1	0	0	1	bge	Protostomia
Blattella_germanica	Mir-278	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-279	7	7	2	0	5	bge	Protostomia
Blattella_germanica	Mir-281	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-282	3	1	0	0	1	bge	Pancrustacea
Blattella_germanica	Mir-29	3	2	0	2	2	bge	Bilateria
Blattella_germanica	Mir-3	1	0	0	3	0	bge	Pancrustacea
Blattella_germanica	Mir-305	4	1	0	0	1	bge	Ecdysozoa
Blattella_germanica	Mir-31	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-315	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-316	1	1	0	0	1	bge	Pancrustacea
Blattella_germanica	Mir-317	1	1	0	0	1	bge	Protostomia
Blattella_germanica	Mir-33	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-34	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-375	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-67	1	1	0	0	1	bge	Protostomia
Blattella_germanica	Mir-7	2	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-71	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-750	1	1	0	0	1	bge	Protostomia
Blattella_germanica	Mir-76	3	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-8	1	1	0	0	1	bge	Bilateria
Blattella_germanica	Mir-87	3	3	0	0	3	bge	Protostomia
Blattella_germanica	Mir-9	4	4	0	0	4	bge	Bilateria
Blattella_germanica	Mir-92	10	9	5	0	4	bge	Bilateria
Blattella_germanica	Mir-96	4	2	0	0	2	bge	Bilateria
Blattella_germanica	Mir-965	1	1	0	0	1	bge	Pancrustacea
Bos_taurus	Let-7	12	12	0	0	12	bta	Bilateria
Bos_taurus	Mir-1	4	3	0	0	3	bta	Bilateria
Bos_taurus	Mir-10	8	8	0	0	8	bta	Eumetazoa
Bos_taurus	Mir-101	2	2	0	0	2	bta	Vertebrata
Bos_taurus	Mir-103	3	3	0	0	3	bta	Deuterostomia
Bos_taurus	Mir-105	2	2	0	0	2	bta	Eutheria
Bos_taurus	Mir-122	1	1	0	0	1	bta	Vertebrata
Bos_taurus	Mir-124	3	3	0	0	3	bta	Bilateria
Bos_taurus	Mir-1247	1	1	0	0	1	bta	Eutheria
Bos_taurus	Mir-1249	1	1	0	0	1	bta	Eutheria
Bos_taurus	Mir-1251	1	1	0	0	1	bta	Theria
Bos_taurus	Mir-126	1	1	0	0	1	bta	Olfactores
Bos_taurus	Mir-127	1	1	0	0	1	bta	Eutheria
Bos_taurus	Mir-1271	5	1	0	0	1	bta	Eutheria
Bos_taurus	Mir-1277	905	1	0	0	1	bta	Eutheria
Bos_taurus	Mir-128	2	2	0	0	2	bta	Vertebrata
Bos_taurus	Mir-129	2	2	0	0	2	bta	Chordata
Bos_taurus	Mir-1296	1	1	0	0	1	bta	Eutheria
Bos_taurus	Mir-1298	1	1	0	0	1	bta	Eutheria
Bos_taurus	Mir-130	5	5	0	0	5	bta	Vertebrata
Bos_taurus	Mir-1301	1	1	0	0	1	bta	Eutheria
Bos_taurus	Mir-1306	1	1	0	0	1	bta	Gnathostomata
Bos_taurus	Mir-1307	1	1	0	0	1	bta	Eutheria
Bos_taurus	Mir-132	2	2	0	0	2	bta	Vertebrata
Bos_taurus	Mir-1329	1	1	0	0	1	bta	Vertebrata
Bos_taurus	Mir-133	3	3	0	0	3	bta	Bilateria
Bos_taurus	Mir-134	1	1	0	0	1	bta	Eutheria
Bos_taurus	Mir-1343	2	1	0	0	1	bta	Eutheria
Bos_taurus	Mir-135	3	3	0	0	3	bta	Chordata
Bos_taurus	Mir-136	1	1	0	0	1	bta	Eutheria
Bos_taurus	Mir-137	1	1	0	0	1	bta	Bilateria
Bos_taurus	Mir-1379	1	0	0	0	0	bta	Eutheria
Bos_taurus	Mir-138	2	2	0	0	2	bta	Vertebrata
