species	family	node	filtered_hits	short
Latimeria_chalumnae	Mir-147	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-148	Vertebrata	2	L.chalumne
Latimeria_chalumnae	Mir-15	Olfactores	8	L.chalumne
Latimeria_chalumnae	Mir-150	Gnathostomata	1	L.chalumne
Latimeria_chalumnae	Mir-153	Bilateria	2	L.chalumne
Latimeria_chalumnae	Mir-155	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-17	Vertebrata	8	L.chalumne
Latimeria_chalumnae	Mir-1788	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-181	Vertebrata	6	L.chalumne
Latimeria_chalumnae	Mir-184	Bilateria	1	L.chalumne
Latimeria_chalumnae	Mir-187	Osteichthyes	1	L.chalumne
Latimeria_chalumnae	Mir-19	Vertebrata	4	L.chalumne
Latimeria_chalumnae	Mir-190	Bilateria	2	L.chalumne
Latimeria_chalumnae	Mir-192	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-193	Bilateria	4	L.chalumne
Latimeria_chalumnae	Mir-194	Vertebrata	2	L.chalumne
Latimeria_chalumnae	Mir-196	Olfactores	3	L.chalumne
Latimeria_chalumnae	Mir-199	Vertebrata	3	L.chalumne
Latimeria_chalumnae	Mir-202	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-203	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-204	Vertebrata	3	L.chalumne
Latimeria_chalumnae	Mir-205	Vertebrata	2	L.chalumne
Latimeria_chalumnae	Mir-208	Vertebrata	2	L.chalumne
Latimeria_chalumnae	Mir-21	Vertebrata	2	L.chalumne
Latimeria_chalumnae	Mir-210	Bilateria	1	L.chalumne
Latimeria_chalumnae	Mir-214	Gnathostomata	1	L.chalumne
Latimeria_chalumnae	Mir-216	Bilateria	2	L.chalumne
Latimeria_chalumnae	Mir-217	Chordata	1	L.chalumne
Latimeria_chalumnae	Mir-218	Vertebrata	3	L.chalumne
Latimeria_chalumnae	Mir-2184	Gnathostomata	1	L.chalumne
Latimeria_chalumnae	Mir-2188	Gnathostomata	1	L.chalumne
Latimeria_chalumnae	Mir-219	Bilateria	2	L.chalumne
Latimeria_chalumnae	Mir-22	Bilateria	2	L.chalumne
Latimeria_chalumnae	Mir-221	Vertebrata	3	L.chalumne
Latimeria_chalumnae	Mir-223	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-23	Vertebrata	4	L.chalumne
Latimeria_chalumnae	Mir-24	Vertebrata	4	L.chalumne
