family	species	short	node	fpc	fnc	model	difference
Mir-7463	Alligator_mississippiensis	ami	Diapsida	0	0	mirmachine	NA
Mir-8	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-875	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-9	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-92	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-96	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-2014	Amphimedon_queenslandica	aqu	Demospongiae	0	0	mirmachine	NA
Mir-2015	Amphimedon_queenslandica	aqu	Demospongiae	0	0	mirmachine	NA
Mir-2017	Amphimedon_queenslandica	aqu	Demospongiae	0	0	mirmachine	NA
Mir-2018	Amphimedon_queenslandica	aqu	Demospongiae	0	0	mirmachine	NA
Mir-2020	Amphimedon_queenslandica	aqu	Demospongiae	0	0	mirmachine	NA
Mir-2021	Amphimedon_queenslandica	aqu	Demospongiae	0	0	mirmachine	NA
Let-7	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-1	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-10	Anolis_carolinensis	aca	Eumetazoa	0	0	mirmachine	NA
Mir-101	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-103	Anolis_carolinensis	aca	Deuterostomia	0	0	mirmachine	NA
Mir-122	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-124	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-126	Anolis_carolinensis	aca	Olfactores	0	0	mirmachine	NA
Mir-128	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-129	Anolis_carolinensis	aca	Chordata	0	0	mirmachine	NA
Mir-130	Anolis_carolinensis	aca	Vertebrata	1	0	mirmachine	1
Mir-1306	Anolis_carolinensis	aca	Gnathostomata	0	0	mirmachine	NA
Mir-132	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-1329	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-133	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-135	Anolis_carolinensis	aca	Chordata	0	0	mirmachine	NA
Mir-137	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-138	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-1388	Anolis_carolinensis	aca	Gnathostomata	0	0	mirmachine	NA
Mir-139	Anolis_carolinensis	aca	Gnathostomata	0	0	mirmachine	NA
Mir-1397	Anolis_carolinensis	aca	Amniota	0	0	mirmachine	NA
Mir-140	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-142	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-143	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-144	Anolis_carolinensis	aca	Vertebrata	1	0	mirmachine	1
Mir-145	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-146	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-147	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-148	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-15	Anolis_carolinensis	aca	Olfactores	0	0	mirmachine	NA
Mir-150	Anolis_carolinensis	aca	Gnathostomata	0	0	mirmachine	NA
Mir-153	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-155	Anolis_carolinensis	aca	Vertebrata	1	0	mirmachine	1
Mir-1662	Anolis_carolinensis	aca	Tetrapoda	0	0	mirmachine	NA
Mir-1677	Anolis_carolinensis	aca	Diapsida	0	0	mirmachine	NA
Mir-17	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-1720	Anolis_carolinensis	aca	Diapsida	0	0	mirmachine	NA
Mir-1788	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-1805	Anolis_carolinensis	aca	Tetrapoda	0	0	mirmachine	NA
Mir-181	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-184	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-187	Anolis_carolinensis	aca	Osteichthyes	0	0	mirmachine	NA
Mir-19	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-190	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-191	Anolis_carolinensis	aca	Gnathostomata	0	0	mirmachine	NA
Mir-192	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-193	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-194	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-196	Anolis_carolinensis	aca	Olfactores	0	0	mirmachine	NA
Mir-199	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-202	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-203	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-204	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-205	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-208	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-21	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-210	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-214	Anolis_carolinensis	aca	Gnathostomata	0	0	mirmachine	NA
Mir-216	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-217	Anolis_carolinensis	aca	Chordata	0	0	mirmachine	NA
Mir-218	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-2188	Anolis_carolinensis	aca	Gnathostomata	0	0	mirmachine	NA
Mir-219	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-22	Anolis_carolinensis	aca	Bilateria	1	0	mirmachine	1
Mir-221	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-223	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-23	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-24	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-26	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-27	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-29	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-2970	Anolis_carolinensis	aca	Sarcopterygii	0	0	mirmachine	NA
Mir-30	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-31	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-32	Anolis_carolinensis	aca	Gnathostomata	0	0	mirmachine	NA
Mir-33	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-338	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-34	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-375	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-383	Anolis_carolinensis	aca	Tetrapoda	0	0	mirmachine	NA
Mir-4057	Anolis_carolinensis	aca	Chordata	0	0	mirmachine	NA
Mir-425	Anolis_carolinensis	aca	Gnathostomata	0	0	mirmachine	NA
Mir-430	Anolis_carolinensis	aca	Vertebrata	3	0	mirmachine	1
Mir-451	Anolis_carolinensis	aca	Vertebrata	1	0	mirmachine	1
Mir-4541	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-455	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-456	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-458	Anolis_carolinensis	aca	Osteichthyes	0	0	mirmachine	NA
Mir-460	Anolis_carolinensis	aca	Osteichthyes	0	0	mirmachine	NA
Mir-489	Anolis_carolinensis	aca	Osteichthyes	0	0	mirmachine	NA
Mir-490	Anolis_carolinensis	aca	Amniota	0	0	mirmachine	NA
Mir-499	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-551	Anolis_carolinensis	aca	Vertebrata	0	0	mirmachine	NA
Mir-7	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
Mir-71	Anolis_carolinensis	aca	Bilateria	0	0	mirmachine	NA
